"mapId","level","classId","party","routeScope","seeds","eligibleForAcceptance","leaderXpPerMinute","aggregateXpCreditsPerMinute","killsPerMinute","travelPercent","respawnWaitingPercent","recoveryPercent","damageTakenPerMinute","consumableCostPerMinute","deaths","companionDowns","companionDownMemberSeconds","visitedPlatformCount","routePlatformCount","stuckSeconds","cohortMapCount","cohortMedianXpPerMinute","deviationFromCohortMedianPercent","pacingWithinTarget","acceptanceNote","layoutRole","xpWithinTarget","dangerAdvantagePercent","comparisonCohortEligible","referenceMapCount","minimumSeedXpPerMinute","maximumSeedXpPerMinute","currencyPerMinute","pickedUpStacksPerMinute","potionUsesPerMinute","damageDealtPerMinute","materialsCollectedPerMinute","consumablesCollectedPerMinute","equippableEquipmentPerMinute","potentialEquipmentResalePerMinute","leaderDamageTakenPerMinute","travelSeconds","respawnWaitingSeconds","enemyHealingPerMinute","rawMovingPercent","engagedPursuitPercent","beforeXpPerMinute","pairedChangePercent","diagnosticChangePercent","comparisonEligibleForAcceptance","matchedResolvedRoute","status","mapName"
"greenrootMeadow","3","fighter","false","main","3","true","818.133","818.133","20.733","50.767","0.148","0","39.867","277.667","0","0","0","3","3","0","1","818.133","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","starterField",,,"true","1","774.2","851.8","650.267","20.267","7.933","2299.533","24.733","0.467","0","0","39.867","152.3","0.445","0","65.363","22.115","756.2","8.19","8.19","true","true","standalone-review","Starfall Verge"
"greenrootMeadow","3","mage","false","main","3","true","782.867","782.867","20.267","51.371","0.148","0","39.2","231","0","0","0","3","3","2.278","1","782.867","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","starterField",,,"true","1","753.8","811.6","644.2","17.933","6.6","2048.733","21.133","0.333","0","2.533","39.2","154.111","0.445","0","56.422","7.144","759.6","3.063","3.063","true","true","standalone-review","Starfall Verge"
"greenrootMeadow","3","archer","false","main","3","true","803.2","803.2","20.867","49.882","0.233","0","42.8","317.333","0","0","0","3","3","2.244","1","803.2","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","starterField",,,"true","1","738.2","893.6","608.133","17","9.067","2119.4","20.067","0.333","0","0","42.8","149.644","0.7","0","56.844","10.544","746","7.668","7.668","true","true","standalone-review","Starfall Verge"
"greenrootMeadow","3","fighter","true","main","3","true","890.6","1479.067","23.4","47.893","0.13","0","26.533","228.667","0","25","32.7","3","3","0","1","890.6","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","starterField",,,"true","1","864.2","930.4","734.2","24.6","6.533","2685.8","28.2","0.467","0","0","26.533","143.678","0.389","0","71.222","31.537","830.533","7.232","7.232","true","true","standalone-review","Starfall Verge"
"greenrootMeadow","6","fighter","false","main","3","true","1269.533","1269.533","20.8","49.815","0.089","0","62.867","571.667","0","0","0","3","3","0","2","1717.033","-26.062","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","starterField","false",,"true","2","1258.6","1284.4","1109","21.2","16.333","3514.467","24","0.267","0","2.8","62.867","149.445","0.267","0","66.741","21.696","1145.933","10.786","10.786","true","true","requires-tuning","Starfall Verge"
"greenrootMeadow","6","mage","false","main","3","true","1397.2","1397.2","22.867","46.337","0.326","0","49.867","497","0","0","0","3","3","0.089","2","1632.3335000000002","-14.405","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","starterField","true",,"true","2","1372.2","1415","1208.2","18.267","14.2","3684.333","21.533","0.2","0","0","49.867","139.011","0.978","0","55.296","10.5","1218.2","14.694","14.694","true","true","requires-tuning","Starfall Verge"
"greenrootMeadow","6","archer","false","main","3","true","1434.6","1434.6","23.6","49.655","0.489","0","38.333","499.333","0","0","0","3","3","0","2","1777.2335","-19.279","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","starterField","false",,"true","2","1380","1496.4","1099.933","17.267","14.267","3888.067","21","0.067","0","8.533","38.333","148.967","1.467","0","57.196","9.167","1432.667","0.135","0.135","true","true","requires-tuning","Starfall Verge"
"greenrootMeadow","6","fighter","true","main","3","true","1469.067","2444.533","23.933","46.159","0.193","0","37","574","0","23","30.667","3","3","0.189","2","1839","-20.116","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","starterField","false",,"true","2","1413.6","1520.6","1240.8","24.667","16.4","4395.6","27.867","0.267","0","10.933","37","138.478","0.578","0","70.9","31.311","1352.933","8.584","8.584","true","true","requires-tuning","Starfall Verge"
"thornpathThicket","6","fighter","false","main","3","true","2164.533","2164.533","26.4","47.185","0.123","0","91.133","578.667","0","0","0","4","4","0","2","1717.033","26.062","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","false",,"true","2","2090","2240.6","1371.667","27.867","16.533","5031.4","25.733","0.867","0","5.467","91.133","141.555","0.367","0","59.23","16.511","1773","22.083","22.083","true","true","requires-tuning","Thornpath Thicket"
"thornpathThicket","6","mage","false","main","3","true","1867.467","1867.467","22.8","46.956","0.155","0","134.8","541.333","0","0","0","4","4","0","2","1632.3335000000002","14.405","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","1750","1988","1222.6","20.133","15.467","4164.533","19","0.067","0.133","6.4","134.8","140.867","0.467","0","50.956","4.822","1772.733","5.344","5.344","true","true","requires-tuning","Thornpath Thicket"
